,상호명,상권업종소분류코드,상권업종소분류명,시도명,시군구명,행정동명,법정동명,도로명주소,위도,경도
61666,삼삼치킨호프구의점,Q05A08,후라이드/양념치킨,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 아차산로51길 28,37.5381552509497,127.08515049898001
61838,오븐마루,Q05A08,후라이드/양념치킨,서울특별시,관악구,서림동,신림동,서울특별시 관악구 신림로 201,37.4756636875415,126.936256739978
61850,엔칙스치킨,Q05A08,후라이드/양념치킨,서울특별시,금천구,시흥1동,시흥동,서울특별시 금천구 시흥대로50길 25,37.451630065699895,126.90344788125401
61877,J숯불바베큐치킨,Q05A08,후라이드/양념치킨,서울특별시,강북구,인수동,수유동,서울특별시 강북구 화계사길 46,37.633471016238204,127.01072477800501
61926,전설의옛날통닭,Q05A08,후라이드/양념치킨,서울특별시,영등포구,신길6동,신길동,서울특별시 영등포구 대방천로 165-13,37.4996273232166,126.91008615566003
61937,양키통닭,Q05A08,후라이드/양념치킨,서울특별시,영등포구,문래동,문래동3가,서울특별시 영등포구 도림로 436-1,37.51463068583529,126.89467642522699
61938,푸라닭,Q05A08,후라이드/양념치킨,서울특별시,노원구,공릉2동,공릉동,서울특별시 노원구 공릉로34길 118,37.6259946838146,127.080053302332
61994,오태식해바라기치킨,Q05A08,후라이드/양념치킨,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 자양로28길 18,37.5421647315534,127.0851241406
62126,푸라닭,Q05A08,후라이드/양념치킨,서울특별시,광진구,광장동,광장동,서울특별시 광진구 광나루로 635,37.5400545983726,127.09778953575399
62330,닭꾸버,Q05A08,후라이드/양념치킨,서울특별시,동작구,노량진1동,노량진동,서울특별시 동작구 만양로 81,37.5107968736624,126.944433956399
62363,쥬라기치킨,Q05A08,후라이드/양념치킨,서울특별시,영등포구,대림3동,대림동,서울특별시 영등포구 대림로 209,37.4992692851314,126.897718932017
62371,푸라닭치킨,Q05A08,후라이드/양념치킨,서울특별시,중랑구,면목7동,면목동,서울특별시 중랑구 면목로 270,37.5769071729805,127.086023823858
62401,푸라닭치킨,Q05A08,후라이드/양념치킨,서울특별시,관악구,신림동,신림동,서울특별시 관악구 신림로65길 37,37.4847197489427,126.927342669266
62413,치킨678노원마들점,Q05A08,후라이드/양념치킨,서울특별시,노원구,상계5동,상계동,서울특별시 노원구 노원로34길 80,37.66259329609289,127.06610274520901
62444,명가통닭,Q05A08,후라이드/양념치킨,서울특별시,성북구,석관동,석관동,서울특별시 성북구 돌곶이로 11,37.6055771910785,127.06175351138701
62491,60계치킨,Q05A08,후라이드/양념치킨,서울특별시,영등포구,신길6동,신길동,서울특별시 영등포구 신풍로 33,37.500383996178705,126.910063847287
62492,푸라닭치킨,Q05A08,후라이드/양념치킨,서울특별시,서초구,양재2동,양재동,서울특별시 서초구 언남길 85,37.4755819370445,127.04592473844102
62522,꼬꾸이누룽지통닭,Q05A08,후라이드/양념치킨,서울특별시,송파구,오금동,오금동,서울특별시 송파구 마천로 70,37.5075915515614,127.128052182869
62636,통닭왕신림,Q05A08,후라이드/양념치킨,서울특별시,관악구,신림동,신림동,서울특별시 관악구 봉천로 218,37.4895614938905,126.92570163654
62672,티바두마리치킨,Q05A08,후라이드/양념치킨,서울특별시,성북구,석관동,석관동,서울특별시 성북구 한천로 561,37.6098432648614,127.063410180797
62731,동네치킨,Q05A08,후라이드/양념치킨,서울특별시,관악구,서원동,신림동,서울특별시 관악구 쑥고개로 3,37.4773882830631,126.93765686063401
62785,BHC치킨봉천청룡점,Q05A08,후라이드/양념치킨,서울특별시,관악구,청룡동,봉천동,서울특별시 관악구 쑥고개로 54,37.479504048084,126.94248866115
62793,BHC치킨서초내곡점,Q05A08,후라이드/양념치킨,서울특별시,서초구,내곡동,내곡동,서울특별시 서초구 헌릉로8길 9-8,37.4566819796094,127.059954634715
62865,멕시카나,Q05A08,후라이드/양념치킨,서울특별시,성동구,마장동,마장동,서울특별시 성동구 마장로42길 14,37.5658979442053,127.045238123934
62954,파파이스,Q05A08,후라이드/양념치킨,서울특별시,종로구,사직동,체부동,서울특별시 종로구 자하문로 9,37.5769074052712,126.97212122406201
62986,5K치킨,Q05A08,후라이드/양념치킨,서울특별시,구로구,개봉1동,개봉동,서울특별시 구로구 개봉로23가길 76,37.494660816145796,126.86025333083799
63019,네네치킨,Q05A08,후라이드/양념치킨,서울특별시,구로구,고척1동,고척동,서울특별시 구로구 경인로 430,37.4982044672086,126.867075433195
63020,계림원,Q05A08,후라이드/양념치킨,서울특별시,은평구,응암3동,응암동,서울특별시 은평구 응암로13길 10-1,37.5896959334766,126.916032094816
63021,지코바치킨,Q05A08,후라이드/양념치킨,서울특별시,구로구,구로2동,구로동,서울특별시 구로구 가마산로 142,37.4885323790145,126.88084730700899
63023,또래오래,Q05A08,후라이드/양념치킨,서울특별시,중랑구,면목2동,면목동,서울특별시 중랑구 봉우재로6길 13,37.589347748943204,127.07639425774401
63062,맘스터치건대점,Q05A08,후라이드/양념치킨,서울특별시,광진구,화양동,화양동,서울특별시 광진구 능동로 120,37.539055936981704,127.074695272526
